player_id,full_name,team_name,position,gw_id,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,expected_goals_conceded,total_points,season
492,Dejan Kulusevski,Spurs,Midfielder,4,0,0,0,1,0.16,0.11,0.73,1,2024_2025
496,Sergio Reguilón,Spurs,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
497,Richarlison de Andrade,Spurs,Forward,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
499,Pape Matar Sarr,Spurs,Midfielder,4,0,0,0,0,0.05,0.01,0.0,1,2024_2025
501,Oliver Skipp,Leeds,Midfielder,4,0,0,0,2,0.0,0.18,2.55,2,2024_2025
503,Son Heung-min,Spurs,Midfielder,4,0,0,0,1,0.04,0.13,0.73,2,2024_2025
504,Djed Spence,Spurs,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
506,Micky van de Ven,Spurs,Defender,4,0,0,0,1,0.02,0.02,0.73,1,2024_2025
508,Guglielmo Vicario,Spurs,Goalkeeper,4,0,0,0,1,0.0,0.0,0.73,2,2024_2025
511,Edson Álvarez Velázquez,West Ham,Midfielder,4,0,0,0,1,0.0,0.01,1.38,1,2024_2025
513,Alphonse Areola,West Ham,Goalkeeper,4,0,0,0,1,0.0,0.0,1.54,3,2024_2025
514,Jarrod Bowen,West Ham,Midfielder,4,0,1,0,1,0.28,0.09,1.54,5,2024_2025
516,Vladimír Coufal,West Ham,Defender,4,0,0,0,0,0.0,0.0,0.68,1,2024_2025
517,Aaron Cresswell,West Ham,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
518,Flynn Downes,Sunderland,Midfielder,4,0,0,0,3,0.0,0.02,2.67,2,2024_2025
520,Emerson Palmieri dos Santos,West Ham,Defender,4,0,0,0,1,0.0,0.05,0.86,1,2024_2025
521,Łukasz Fabiański,West Ham,Goalkeeper,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
524,Max Kilman,West Ham,Defender,4,0,0,0,1,0.0,0.0,1.54,2,2024_2025
525,Mohammed Kudus,West Ham,Midfielder,4,0,0,0,1,0.03,0.07,1.54,2,2024_2025
526,Luis Guilherme Lira dos Santos,West Ham,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
527,Lucas Tolentino Coelho de Lima,West Ham,Midfielder,4,0,0,0,0,0.02,0.07,0.76,1,2024_2025
528,Konstantinos Mavropanos,West Ham,Defender,4,0,0,0,1,0.09,0.0,1.54,2,2024_2025
530,Tomáš Souček,West Ham,Midfielder,4,0,0,0,1,0.07,0.0,0.78,1,2024_2025
531,James Ward-Prowse,West Ham,Midfielder,4,0,0,1,0,0.0,0.01,0.94,3,2024_2025
533,Rayan Aït-Nouri,Wolves,Defender,4,0,0,0,2,0.0,0.03,0.83,0,2024_2025
535,Jean-Ricner Bellegarde,Wolves,Midfielder,4,0,0,1,0,0.07,0.01,0.71,3,2024_2025
536,Daniel Bentley,Wolves,Goalkeeper,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
541,Matheus Santos Carneiro Da Cunha,Wolves,Forward,4,0,0,0,2,0.18,0.02,1.21,2,2024_2025
543,Matt Doherty,Wolves,Defender,4,0,0,0,1,0.0,0.01,0.46,1,2024_2025
548,Gonçalo Manuel Ganchinho Guedes,Wolves,Midfielder,4,0,0,0,0,0.0,0.01,0.38,1,2024_2025
550,Hwang Hee-chan,Wolves,Midfielder,4,0,0,0,2,0.0,0.02,0.5,1,2024_2025
553,João Victor Gomes da Silva,Wolves,Midfielder,4,0,0,0,2,0.05,0.02,1.21,2,2024_2025
